Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Localización,Fecha UTC,Hora UTC
6/17/2017,19:11:27,3.8,16.26,-99.38,10,59km al sur de san marcos gro,6/17/2017,19:11:27
6/17/2017,18:37:31,3.9,17.76,-94.41,48,"30km al sureste de minatitlan, ver ",6/17/2017,06:37:31
6/17/2017,16:23:39,4,17.01,-91.18,10,"58km al suroeste de tenosique, tab ",6/17/2017,04:23:39
6/17/2017,14:31:29,3.4,15.15,-97.31,16,"83km al suroeste de puerto escondido, oax ",6/17/2017,02:31:29
6/17/2017,11:05:12,3.9,14.47,-94.54,18,"197km al suroeste de pijijiapan, chis",6/17/2017,11:05:12
6/17/2017,10:52:10,3.4,16.36,-98.21,15,"17km al oeste de pinotepa nacional, oax ",6/17/2017,10:52:10
6/17/2017,09:09:22,3.6,14.89,-93.38,13,"81km al suroeste de maoastepec, chis",6/17/2017,09:09:22
6/17/2017,08:59:25,3.5,16.62,-99.3,3,"22km al suroeste de sanmarcos,gro",6/17/2017,08:59:25
6/17/2017,06:23:31,3.6,20.29,-105.4,48,"40km al suroeste de puesto vallarta, jal ",6/17/2017,06:23:31
6/17/2017,05:19:40,3.4,19.01,-105.33,10,"85km al suroeste de cihuatlan, jal ",6/17/2017,05:19:40
6/17/2017,04:27:16,3.2,17.09,-100.01,4,"12km al noroeste de coyuca de benitez, gro",6/17/2017,04:27:16
6/17/2017,01:50:34,4.1,14.8,-92.03,104,"18km al noroeste de cd hidalgo,chis ",6/17/2017,01:50:34
6/17/2017,00:07:16,4.3,14.62,-92.03,104,"15km al suroeste de cd hidalgo,chis",6/17/2017,00:07:16
6/16/2017,22:50:54,3.8,13.99,-93.32,14,"147km al suroeste de cd hidalgo, chis",6/16/2017,10:50:54
6/16/2017,21:15:26,4,14.15,-93.5,10,"156km al suroeste de hixtla,chis",6/16/2017,09:15
6/16/2017,19:28:42,3.5,16.8,-99.18,26,"23km al ESTE de SAN MARCOS, GRO",6/16/2017,07:28:42
6/16/2017,18:04:44,3.7,14.63,-92.1,97,"8km al ESTE DE CD HIDALGO,CHIS",6/16/2017,06:04:44
6/16/2017,17:46:00,4.2,19.02,-107.52,23,"298km al suroeste de puerto vallarta, jal ",6/16/2017,05:46:00
6/16/2017,17:41:54,4.5,14.29,-93.47,16,"142km al suroeste de mapastepec,chis",6/16/2017,05:41:54
6/16/2017,16:52:40,3.4,18.6,-104.05,14,38km al sur de armeria colima ,6/16/2017,04:52:40
6/16/2017,02:21:23,3.2,18.96,104.29,33,"11km al sur de manzanillo, col ",6/16/2017,02:21:23
6/15/2017,14:38:42,3.8,15.63,-95.45,43,"66km al suroeste de salina cruz, oax ",6/15/2017,02:38:42
6/15/2017,14:15:39,3.8,15.21,-93.17,96,"39km al suroeste de mapastepec, chis ",6/15/2017,02:15:39
6/15/2017,13:40:07,3.3,16.06,-97.23,30,"22km al este de rio grande, oax ",6/15/2017,01:40:07
6/15/2017,13:27:37,3.7,17.51,-94.52,158,"53km al sur de minatitlan, ver ",6/15/2017,01:27:37
6/15/2017,13:09:30,3.8,18.43,-103.39,58,"46km al suroeste de coalcoman, mich",6/15/2017,01:09:30
6/15/2017,13:01:25,3.2,16.23,-98.02,5,"13km al sur de pinotepa nacional,oax ",6/15/2017,01:01
6/15/2017,12:35:55,3.9,14.7,-92.98,12,"74km al suroeste de huixtla, chis",6/15/2017,12:35:55
6/15/2017,12:26:12,3.8,19.36,-103.99,29,"26kmal noroeste de coquimatlan, col",6/15/2017,12:26:12
6/14/2017,17:34:32,4.2,16.12,-98.64,16,"67km al suroeste de ometepec,gro",6/14/2017,17:34:32
6/14/2017,16:52:06,3.8,17.33,-97.02,69,36km al noroeste de sta maria atzompa,6/14/2017,16:52:06
6/14/2017,16:14:57,5.1,13.99,-92.38,10,"80km al suroeste de cd hidalgo,chis",6/14/2017,16:14:57
6/14/2017,15:13:35,3.9,19.47,-105.46,32,"98km al oeste de cihuatlan, jal",6/14/2017,15:13:35
6/14/2017,14:53:13,4,16.68,-91.56,10,"60km al noreste de las margaritas,chis",6/14/2017,14:53:13
6/14/2017,14:01:51,3.6,14.89,-92.1,102,"13km al sureste de cacahoatan,chis",6/14/2017,14:01:51
6/14/2017,03:05:57,3.3,18.96,-104.09,22,"14km al oeste de cd de armeria, col ",6/14/2017,03:05:57
6/14/2017,02:40:48,4,14.77,-92.18,100,"10km al noroeste de cd hidalgo, chis ",6/14/2017,02:40:48
6/14/2017,02:29:03,7,14.77,-92.08,113,"13km al noroeste de cd hidalgo,chis",6/14/2017,02:29:03
6/14/2017,02:23:53,5,14.23,-93.42,16,"144km al suroeste de huixtla,chis ",6/14/2017,02:23:53
6/14/2017,01:38:47,5.6,13.95,-93.33,16,"151km al suroeste de cd hidalgo,chis",6/14/2017,01:38:47
6/13/2017,06:51:08,3.5,15.03,-93.4,65,"71km al suroeste de mapastepec, chis",6/13/2017,06:51:08
6/13/2017,05:31:54,3.8,15.99,-98.68,17,"78km al suroeste de pinotepa nacional,oax",6/13/2017,05:31:54
6/13/2017,03:43:50,4.6,13.78,-92.56,10,"108km al suroeste de cd hidalgo,chis ",6/13/2017,03:43:50
6/13/2017,03:03:24,3.4,16.52,-98.42,20,"18km al sur de ometepec,gro",6/13/2017,03:03:24
6/13/2017,02:56:14,3.4,16.29,-98.23,14,"20km al oeste de pinotepa nacional,oax",6/13/2017,02:56:14
6/13/2017,01:15:38,3.9,16.08,-93.79,93,"4km al oeste de tonala,chis",6/13/2017,01:15:38
06/12/2017,23:53:21,4,16.62,-94.76,98,"18km al noroeste de union hidalgo,oax",06/12/2017,11:53:21
06/12/2017,23:37:22,5.2,13.55,-92.49,10,"129km al suroeste de cd hidalgo,chis",06/12/2017,11:37:22
06/12/2017,23:00:18,3.7,16.36,-97.68,30,"39km al este de pinotepa nacional,oax",06/12/2017,11:00:18
06/12/2017,22:10:50,3.6,17.89,-101.29,57,"39km al noreste de zihuatanejo,gro",06/12/2017,10:10:50
06/12/2017,20:42:15,4,32.58,-115.09,8,"32km al norte de gpe victoria, bc",06/12/2017,08:42:15
